problem size,bl copy time,bl runtime,bs copy time,bs runtime
65536,0.007153,0.001569,0.007153,0.084500
131072,0.014305,0.003025,0.014305,0.084504
262144,0.028610,0.005827,0.028610,0.084511
524288,0.057220,0.011431,0.057220,0.084525
1048576,0.114441,0.022639,0.114441,0.084553
2097152,0.228882,0.045055,0.228882,0.084608
4194304,0.457764,0.089887,0.457764,0.084720
