problem size,bl copy time,bl runtime,bs copy time,bs runtime
65536,0.007153,0.001093,0.007153,0.098805
131072,0.014305,0.002102,0.014305,0.098805
262144,0.028610,0.004203,0.028610,0.098805
524288,0.057220,0.008406,0.057220,0.098805
1048576,0.114441,0.016812,0.114441,0.098805
2097152,0.228882,0.033624,0.228882,0.098805
4194304,0.457764,0.067248,0.457764,0.098805
