problem size,bl copy time,bl runtime,bs copy time,bs runtime
256,0.002393,15.792432,0.002393,15.792432
128,0.000601,7.897008,0.000601,7.897008
64,0.000151,3.949296,0.000151,3.949296
32,0.000038,1.975440,0.000038,1.975440
16,0.000010,0.988512,0.000010,0.988512
8,0.000003,0.495048,0.000003,0.495048
4,0.000001,0.248316,0.000001,0.248316
