Size,CPU_Time_ms,GPU_Time_ms
64,0.0012269250646568253,0.0057395591284148395
128,0.002222269927187881,0.007587719892399036
256,0.006623516355830361,0.012174554171906493
512,0.02430208121495525,0.01788024064808269
1024,0.015453555761268944,0.0816135896002379
2048,0.023725085384285194,0.0603100841090054
4096,0.0901425963775182,0.13134191135577566
