Size,CPU_Time_s,GPU_Time_s
65536,1.883460015505989e-05,2.43216767330523e-05
131072,1.8173349189964938e-05,1.791144779872411e-05
262144,1.897014010410203e-05,1.8063716879623826e-05
524288,1.887333883132669e-05,1.8083224063047965e-05
1048576,2.1251515590847703e-05,1.90760390523792e-05
2097152,2.780407669433771e-05,2.4800078676889825e-05
4194304,5.486255474806967e-05,5.553951518777467e-05
